Symbol,Symbol,Strike,Last,Theor.,IV,Delta,Gamma,Theta,Vega,Rho,Volume,"Open Int",Vol/OI,Type,DTE,"Exp Date",Time,"Avg IV","30D His Vol"
GME|20220401|113.00C,GME,113.00,35.50,39.55,135.51%,0.95274,0.00346,-0.20084,0.02075,0.00000,1,78,0.01,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|114.00C,GME,114.00,36.56,38.55,132.20%,0.95165,0.00361,-0.19953,0.02113,0.00000,23,6,3.83,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|115.00C,GME,115.00,37.15,37.15,104.69%,0.97693,0.00248,-0.08598,0.01150,0.00000,51,154,0.33,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|116.00C,GME,116.00,34.45,36.58,126.77%,0.94798,0.00399,-0.20285,0.02240,0.00000,54,69,0.78,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|117.00C,GME,117.00,34.00,35.63,125.65%,0.94400,0.00427,-0.21313,0.02375,0.00000,4,59,0.07,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|118.00C,GME,118.00,34.50,34.50,116.91%,0.94979,0.00421,-0.18187,0.02178,0.00000,14,112,0.13,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|119.00C,GME,119.00,35.80,33.65,120.07%,0.93981,0.00473,-0.21554,0.02513,0.00000,5,52,0.10,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|120.00C,GME,120.00,32.89,32.89,125.48%,0.92583,0.00532,-0.26474,0.02954,0.00000,161,686,0.23,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|121.00C,GME,121.00,32.00,32.00,125.60%,0.91871,0.00569,-0.28409,0.03167,0.00000,7,105,0.07,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|122.00C,GME,122.00,30.82,30.82,116.30%,0.92559,0.00575,-0.24599,0.02961,0.00000,8,56,0.14,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|123.00C,GME,123.00,28.70,30.37,129.28%,0.89800,0.00655,-0.34600,0.03747,0.00000,3,66,0.05,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|124.00C,GME,124.00,31.53,29.60,131.34%,0.88660,0.00695,-0.37937,0.04044,0.00000,3,48,0.06,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|125.00C,GME,125.00,28.50,28.50,125.12%,0.88754,0.00726,-0.35929,0.04020,0.00000,143,507,0.28,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|126.00C,GME,126.00,26.83,27.85,129.63%,0.87141,0.00770,-0.40909,0.04418,0.00000,21,74,0.28,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|127.00C,GME,127.00,25.66,27.03,129.61%,0.86196,0.00808,-0.42949,0.04639,0.00000,13,103,0.13,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|128.00C,GME,128.00,26.25,26.25,130.38%,0.85091,0.00846,-0.45510,0.04887,0.00000,40,117,0.34,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|129.00C,GME,129.00,21.18,25.20,125.39%,0.84847,0.00890,-0.44241,0.04940,0.00000,4,38,0.11,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|130.00C,GME,130.00,24.59,24.59,128.98%,0.83219,0.00925,-0.48653,0.05281,0.00000,334,585,0.57,Call,7,04/01/22,03/25/22,142.32%,124.38%
